Hospital Name,Address,Latitude,Longitude,Verified Address
"Institute of Neurosciences, Kolkata","185/1, A.J.C. Bose Road, Mallick Bazar, Kolkata-700017",22.546981,88.3619801,"BRAIN AND SPINE CLINIC, AT INSTITUTE OF NEUROSCIENCES KOLKATA, Bus stop, 6B, Acharya Jagdish Chandra Bose Rd, Beck Bagan, Elgin, Kolkata, West Bengal 700017, India"
AMRI Hospitals - Dhakuria,"4 & 5, CIT Scheme, Block-A, Gariahat, Kolkata-700029",22.512609,88.3676693,"38/1A, Dhakuria, Kankulia, Kolkata, West Bengal 700031, India"
Kothari Medical Centre,"Alipore Road, Kolkata-700027",22.5329339,88.3303923,"8/3, Alipore Rd, Alipore, Kolkata, West Bengal 700027, India"
Desun Hospital,"Medical College Road , Siliguri 734004",26.6858206,88.3959532,"M9PW+5HV, Kawakhari, Kwakhali, West Bengal 734011, India"
Neotia Getwell Healthcare Center,"Uttorayan Township, Matigara, Siliguri, West Bengal, PIN-734010",26.725794,88.3935291,"Neotia Getwel Multispeciality Hospital, Uttorayon Twp, Siliguri, West Bengal 734010, India"
M/S Mitras Clinic & Nursing Home,"Hakimpara, Siliguri, W.B.-734001",26.71426485,88.42857809,"1, Tilak Rd, Ward 12, Hakim Para, Siliguri, West Bengal 734001, India"
Belle Vue Clinic,"9, Dr. U N Brahmachari Street, Kolkata-700017 (WB)",22.542625,88.3549725,"9, Sir UN Brahmachari Sarani, Elgin, Kolkata, West Bengal 700017, India"
Fortis Hospital Ltd.,"730, Anandapur, EM Bypass Road, Kolkata - 700107",22.5131868,88.4028181,"362, Anandapur, Rubi, Kolkata, West Bengal 700107, India"
ASG Eye Hospital,"Pranami Mandir Road, Opp. Kejriwal Stone & Kidney Clinic, Ward-40, Haidar Para, Siliguri, West Bengal - 734001",26.7267461,88.432989,"14, Pranami Mandir Rd, opp. Kejriwal Stone & Kidney Clinic, Ward 13, Shibrampally, Siliguri, West Bengal 734001, India"
B.M. Birla Heart Research Centre,"1/1, National Library Avenue, Alipore, Kolkata- 700027",22.5328893,88.3282827,"1, 1, National Library Ave, Alipore, Kolkata, West Bengal 700027, India"
Ruby General Hospital,"576, Anandapur, EM Byepass, Kolkata-100107",22.5134681,88.4029682,"Ruby General Hospital, Anandapur Main Rd, Sector I, East Kolkata Twp, Kolkata, West Bengal 700107, India"
Thalamus Institute of Medical Sciences Pvt. Limited,"Battalion More, Fulbari, Siliguri, West Bengal-734015",26.6612177,88.4154206,"Thalamus Hospital Helipad, Kamrangaguri, Fulbari, Siliguri, West Bengal 734004, India"
Hope & Heal Cancer Hospital and Research Centre,"Jatiakhali, Fulbari, Siliguri-734015",26.62946145,88.44031123,"JCHR+Q4R, JOTIA KALI, Binnaguri, West Bengal 735203, India"
Woodland Multispeciality Hospital Ltd.,"8/5, Alipore Road, Kolkata - 700027",22.5322078,88.3292736,"Kanoria House, 8/5/3, Alipore Rd, Alipore, Kolkata, West Bengal 700027, India"
Medica North Bengal Clinic,"Meghnad Saha Sarani, Pradhan Nagar, Siliguri-734003",26.7303475,88.4154712,"PCJ8+45F, Meghnad Saha Sarani, Ward 2, Pradhan Nagar, Siliguri, Mallaguri, West Bengal 734003, India"
Sunrise Nursing Home Pvt. Ltd.,"Udham Singh Sarani, Behind Ghosh Nursery, Opp. LIC Building Sevoke Road, Siliguri - 734 401",26.7271012,88.3952861,"P9GW+R4V, Block A, Uttorayon Twp, Siliguri, West Bengal 734010, India"
Paramount Hospital Pvt. Ltd.,"Mangal Pandey Road, Near Agarasen Bhawan, Siliguri - 734 005",26.7271012,88.3952861,"P9GW+R4V, Block A, Uttorayon Twp, Siliguri, West Bengal 734010, India"
AMRI Hospital,"16 & 17, Sector-III, Salt Lake, Kolkata-700098",22.56836592,88.41164198,"JC - 16 & 17, JC Block, Sector 3, Bidhannagar, Kolkata, West Bengal 700098, India"
Center for Sight (A Unit of New Delhi Center for Sight Ltd.),"A-31, PC Colony, Kankarbagh, Patna-800020",28.6139298,77.2088282,"J675+HGG J675+HGG New Delhi, Delhi, Rajpath Area, Central Secretariat, New Delhi, Delhi 110011, India"
Jayprabha Medanta Superspeciality Hospital (A Unit of M/s Global Health Patliputra Pvt. Ltd.),"Kankarbagh Main Road, Kankarbagh Colony, Patna-800020 (Bihar)",25.5995732,85.1529168,"NC-123, Housing Board Colony, Kankarbagh, Patna, Bihar 800020, India"
Hi-Tech Emergency Hospital,"Saguna More, Khagaul Road, Patna-801503",25.6209763,85.0407458,"Saguna, J2CR+C82, near HiTech Hospital, Saguna More, Patna, Danapur, Bihar 801503, India"
Jagdish Memorial Hospital (A Unit of Jagdish Memorial Hospital Pvt. Ltd.),"Lohia Nagar, Kankarbagh, Patna-800020",25.5990106,85.1571194,"DS - 2, Lohiya Nagar, behind Geological Survey of India, Housing Board Colony, Kankarbagh, Patna, Bihar 800020, India"
Asian City Hospital (A Unit of Blue Sapphire Healthcare Private Limited),"Behind P and M Mall, Patliputra Industrial Area, Patna - 800013",25.6340301,85.1063556,"80c, Patliputra Kurji Rd, Patliputra Industrial Area, Patliputra Colony, Patna, Bihar 800013, India"
M/s Kurji Holy Family Hospital,Kurji Patna,25.6359018,85.1116643,"Building, Kurji, Patna, Digha Diara, Bihar 800010, India"
Fortis Hospitals Limited,"Mulund Goregaon Link Road, Bhandup (West) Mumbai-400078",19.1612989,72.9412566,"Fortis Hospital Mulund, 104, Mulund - Goregaon Link Rd, Industrial Area, Bhandup West, Mumbai, Maharashtra 400078, India"
Jaslok Hospital & Research Centre,"15, Dr. G. Deshmukh Marg, Mumbai-400026",18.9715715,72.8099571,"Jaslok Hospital And Research Centre, Center 15, Pedder Rd, Gowalia Tank, Cumballa Hill, Mumbai, Maharashtra 400026, India"
BSES MG Hospital,"S V Road, Opp. Railway Station, Andheri (W), Mumbai-400058",19.1386175,72.8451695,"220/a, Swami Vivekananda Rd, Oshiwara, Jogeshwari West, Mumbai, Maharashtra 400102, India"
Alexis Multi Specialty Hospital Private Ltd.,"Survey No. 232, H. No. 1313, Mankapura Square, Karodi Road, Nagpur-440030 (Maharastra)",21.1857573,79.0795349,"Haspital Road Hospital Road Zenda Chowk, New Mankapur, Nagpur, Maharashtra 440030, India"
Kokilaben Dhirubhai Ambani Hospital & Medical Research Institute (Unit of Mandke Foundation),"Four Bungalows, Andheri West, Mumbai-400053",19.1311225,72.8246837,"Rao Saheb, Rao Saheb Achutrao Patwardhan Marg, Four Bungalows, Andheri West, Mumbai, Maharashtra 400053, India"
Lilavati Hospital and Research Centre,"A-791, Bandra Reclamation, Bandra (W), Mumbai-400050",19.0510043,72.8293225,"A-791, A-791, Bandra Reclamation Rd, General Arunkumar Vaidya Nagar, Bandra West, Mumbai, Maharashtra 400050, India"
Apollo Hospital Enterprise Limited,"Plot No. 13, Sector-23, Parsik Hill Road, CBD Belapur, Navi Mumbai-400614",19.021761,73.028511,"13, Sector 23, CBD Belapur, Navi Mumbai, Maharashtra 400614, India"
Surya Childrens Medicare Pvt. Ltd.,"S.V. Road, Santa Cruz (West), Mumbai - 400054",19.0855574,72.8378872,"Surya Hospitals, Mangal Ashirwad, 101-102, Swami Vivekananda Rd, Hasmukh Nagar, Santacruz (West), Mumbai, Maharashtra 400054, India"
Kalyani Hospital,"Near Radha Swami Satsang Bhawan, A B College Road, Pathankot (Punjab) 145001",32.265122,75.679292,"Near Radha Soami Satsang Beas, 7M8H+2PV, Jalandhar - Dalhousie Bypass, Mamun, Pathankot, Punjab 145001, India"
Amandeep Hospital,Dalhousie Road Mamoon Pathankot(Punjab),32.276139,75.6948055,"GF Tower, 20, National Highway, Mamun, Pathankot, Punjab 145001, India"
BBC Heart Care (Pruthi Hospital),"301, Lajpat Nagar, Jalandhar City, PIN-144001",31.3175625,75.5741687,"301, Mahavir Marg, Lajpat Nagar, Jalandhar, Punjab 144003, India"
Joshi Superspeciality And Multispeciality Hospital,"Kapurthala Chowk, Jalandhar (Punjab)",31.3346013,75.5624417,"8HM6+RXW, Mahavir Marg, Sangat Colony, Adarsh Nagar, Jalandhar, Punjab 144008, India"
Tagore Hospital & Heart Care Centre,"Banda Bahadur Nagar, Mahavir Marg, Jallandhar",31.33711187,75.56324353,"91, Mahavir Marg, Sangat Colony, Durga Colony, Jalandhar, Punjab 144008, India"
IVY Hospital (A Unit of IVY Health & Life Sciences (P) Ltd.),"SAS Nagar, Sector-71, Mohali, PIN-160071 (Punjab)",30.7069677,76.70810604,"PP45+Q4Q, Sector 71, Sahibzada Ajit Singh Nagar, Punjab 160071, India"
Capitol Hospital,"Jalandhar-Pathankot Road (NH-44), Near Reru Chowk, Jalandhar (Punjab)",31.3645623,75.5968843,"9H7W+XPR, National Highway-1A, Nurpur, Jalandhar, Punjab 144012, India"
"Fortis Hospital, Mohali","Sector-62, Phase-VIII,Mohali, Punjab-160062",30.6952395,76.7314121,"Floor No : 4 near, near Phase VIII, Sector 62, Sahibzada Ajit Singh Nagar, Lamba, Punjab 160062, India"
Max Super Speciality (A Unit of Homitrial Estate Pvt Ltd),"Near Civil Hospital, Phase-VI Mohali, Punjab 140110",30.7276884,76.7062336,"334, Phase 1, Sector 57, Sahibzada Ajit Singh Nagar, Punjab 160055, India"
Chauhan Multispeciality & Trauma Centre,"Amritsar Pathankot Highway, Kotli, Pathankot (Punjab)",32.23328999,75.55328494,"National Highway 15 Amritsar Pathankot Highyway, Kotli Muglan, Punjab 145025, India"
Mohan Dai Oswal Memorial Hospital,"G.T. Road Sherpur Chowk, By-Pass Ludhiana 141009",30.6604908,76.2975805,"Jammu - Delhi Rd, Mandi Gobindgarh, Punjab 147301, India"
Kullu Valley Hospital (A Unit of Banga Hospitals Pvt. Ltd.),"Shastri Nagar, Kullu, PIN-175101 (Himachal Pradesh)",31.9427307,77.1089637,"48, Shastri Nagar, Kullu, Himachal Pradesh 175101, India"
Fortis Hospital Kangra,Kangra Dharamshala Road(HP)176001,32.1160198,76.282065,"Fortis Hospital Opd No. 107, Adarsh Nagar, Adarsh Colony, Sibkara, Kangra, Himachal Pradesh 176001, India"
Himachal Heart Institute,"Vill & PO - Gutkar, (NH-21), Tehsil - Balh, Mandi - 175001 (HP)",31.6648197,76.9437829,"MW7V+WGF, Gutkar, Chhanwari, Himachal Pradesh 175001, India"
Shri Harihar Hospital Private Limited,"Bhuntar, Distt. - Kullu, Himachal Pradesh - 175125",31.8952691,77.1499433,"V4WX+3XX, Manikaran Rd, Hathithan, Bhuntar, Himachal Pradesh 175125, India"
